Copia de Base de datos ENTREGA 01 - Marcas sustentables en Chile 2
Dato;Marca;Año fundación;Género;¿Es sustentable?;¿Tiene tienda física?;¿Qué mecanismo utiliza?;¿Produce desechos?
1;Palosanto;2015;Femenino;Sí;Sí;Rescate de desechos textiles;No
2;Voz;2012;Unisex;Sí;Sí;Materiales renovables y de origen natural;/
3;Ponte en onda;s/f;Unisex;Sí;Sí;Segunda mano;No
4;Nostalgic;1998;Unisex;Sí;Sí;Segunda mano;/
5;Orange Blue;1985;Unisex;Sí;Sí;Segunda mano;/
6;Duso Chile;2020;Femenino;Sí;No;Suprareciclaje textil;/
7;La Martic;2020;Unisex;Sí;Sí;Zero Waste;Sí, pero regulado
8;Huaman Autor;2021;Unisex;Sí;No;Textiles monomatéricos y reciclados;No
9;Lupe Gajardo;2009;Unisex;Sí;No;Zero Waste;/
10;NA;2004;;Sí;/;Suprareciclaje textil;
11;Roberta;2011;Unisex;Sí;Sí;Técnicas artesanales;Sí, pero regulado
12;Munay Sisters;2012;;Sí;No;Materiales reutilizados de origen orgánico. ;No
;;;;;;;
Objetivo: Conocer marcas chilenas sustentables que contrarrestan los efectos del fast fashion;;;;;;;
